"program_names","program_channel_ids","channel_name"
"Sporten P4 Dalarna","223","P4 Dalarna"
"Sporten P4 Gotland","205","P4 Gotland"
"Sporten P4 Kalmar","201","P4 Kalmar"
"Sporten P4 Skaraborg","208","P4 Skaraborg"
"Sporten P4 Uppland","218","P4 Uppland"
"Sporten P4 V<U+00E4>st","219","P4 V<U+00E4>st"
"Sporten P4 V<U+00E4>stmanland","217","P4 V<U+00E4>stmanland"
"Nyheter P4 J<U+00E4>mtland","200","P4 J<U+00E4>mtland"
"Nyheter (Ekot)","83","Unknown channel"
"Nyheter P4 Kalmar","201","P4 Kalmar"
"Nyheter P4 S<U+00F6>rmland","202","P4 S<U+00F6>rmland"
"Nyheter P4 J<U+00F6>nk<U+00F6>ping","203","P4 J<U+00F6>nk<U+00F6>ping"
"Nyheter P4 V<U+00E4>rmland","204","P4 V<U+00E4>rmland"
"Nyheter P4 Gotland","205","P4 Gotland"
"Nyheter P4 Sjuh<U+00E4>rad","206","P4 Sjuh<U+00E4>rad"
"Nyheter P4 Malm<U+00F6>hus","207","P4 Malm<U+00F6>hus"
"Nyheter P4 Skaraborg","208","P4 Skaraborg"
"Nyheter P4 Norrbotten","209","P4 Norrbotten"
"Nyheter P4 G<U+00E4>vleborg","210","P4 G<U+00E4>vleborg"
"Nyheter P4 Kristianstad","211","P4 Kristianstad"
"Nyheter P4 Stockholm","701","P4 Stockholm"
"Nyheter P4 G<U+00F6>teborg","212","P4 G<U+00F6>teborg"
"Nyheter P4 Blekinge","213","P4 Blekinge"
"Nyheter P4 Kronoberg","214","P4 Kronoberg"
"Nyheter P4 V<U+00E4>sterbotten","215","P4 V<U+00E4>sterbotten"
"Nyheter P4 V<U+00E4>sternorrland","216","P4 V<U+00E4>sternorrland"
"Nyheter P4 V<U+00E4>stmanland","217","P4 V<U+00E4>stmanland"
"Nyheter P4 Uppland","218","P4 Uppland"
"Nyheter P4 V<U+00E4>st","219","P4 V<U+00E4>st"
"Nyheter P4 Halland","220","P4 Halland"
"Nyheter P4 <U+00D6>rebro","221","P4 <U+00D6>rebro"
"Nyheter P4 <U+00D6>sterg<U+00F6>tland","222","P4 <U+00D6>sterg<U+00F6>tland"
"Nyheter P4 Dalarna","223","P4 Dalarna"
"Ekonomiekot","83","Unknown channel"
"Radiosporten","179","P4 Radiosporten"
"Sisu-uutiset","226","SR Sisuradio"
"Morgon i P4 Norrbotten","209","P4 Norrbotten"
"F<U+00F6>rmiddag i P4 Dalarna","223","P4 Dalarna"
"Eftermiddag i P4 V<U+00E4>sternorrland","216","P4 V<U+00E4>sternorrland"
"Eftermiddag i P4 Gotland","205","P4 Gotland"
"F<U+00F6>rmiddag i P4 Norrbotten","209","P4 Norrbotten"
"Eftermiddag i P4 Norrbotten","209","P4 Norrbotten"
"F<U+00F6>rmiddag i P4 G<U+00E4>vleborg","210","P4 G<U+00E4>vleborg"
"F<U+00F6>rmiddag i P4 V<U+00E4>sterbotten","215","P4 V<U+00E4>sterbotten"
"Morgon i P4 S<U+00F6>rmland","202","P4 S<U+00F6>rmland"
"Eftermiddag i P4 G<U+00E4>vleborg","210","P4 G<U+00E4>vleborg"
"Morgon i P4 Uppland","218","P4 Uppland"
"Morgon i P4 Skaraborg","208","P4 Skaraborg"
"Eftermiddag i P4 Malm<U+00F6>hus","207","P4 Malm<U+00F6>hus"
"F<U+00F6>rmiddag i P4 Skaraborg","208","P4 Skaraborg"
"Eftermiddag i P4 Skaraborg","208","P4 Skaraborg"
"Vetenskapsradions nyheter","406","Unknown channel"
"Vetenskapsradion Historia","132","P1"
"Spr<U+00E5>ket","132","P1"
"Vetandets v<U+00E4>rld","132","P1"
"Vetenskapsradions veckomagasin","132","P1"
"M<U+00E4>nniskor och tro","132","P1"
"Eftermiddag i P4 J<U+00E4>mtland","200","P4 J<U+00E4>mtland"
"Godmorgon, v<U+00E4>rlden!","132","P1"
"Morgon i P4 <U+00D6>sterg<U+00F6>tland","222","P4 <U+00D6>sterg<U+00F6>tland"
"Kulturnytt","132","P1"
"P4 Live","158","Unknown channel"
"Klartext","158","Unknown channel"
"Romanpriset","132","P1"
"OBS","132","P1"
"Eftermiddag i P4 <U+00D6>sterg<U+00F6>tland","222","P4 <U+00D6>sterg<U+00F6>tland"
"F<U+00F6>rmiddag i P4 <U+00D6>rebro ","221","P4 <U+00D6>rebro"
"Eftermiddag i P4 <U+00D6>rebro","221","P4 <U+00D6>rebro"
"Spanarna","132","P1"
"Morgon i P4 Blekinge","213","P4 Blekinge"
"F<U+00F6>rmiddag i P4 Blekinge","213","P4 Blekinge"
"Morgon i P4 Stockholm","701","P4 Stockholm"
"Musikplats Stockholm","701","P4 Stockholm"
"Kulturradion special","132","P1"
"Morgon i P4 G<U+00E4>vleborg","210","P4 G<U+00E4>vleborg"
"Filosofiska rummet","132","P1"
"P1 Dokument<U+00E4>r","132","P1"
"Gudstj<U+00E4>nsten","132","P1"
"Meny","132","P1"
"Radioteatern","132","P1"
"Da Capo ","158","Unknown channel"
"Morgon i P4 V<U+00E4>st","219","P4 V<U+00E4>st"
"Sisu soi","226","SR Sisuradio"
"Urheiluradio ","226","SR Sisuradio"
"Me<U+00E4>nraatio  ","209","P4 Norrbotten"
"Keski-Ruotsin Sisuradio","226","SR Sisuradio"
"City Sisu  ","226","SR Sisuradio"
"Naturmorgon","132","P1"
"Magiska skrinet: Taikalipas ","226","SR Sisuradio"
"T<U+00E4>hti","226","SR Sisuradio"
"Radiof<U+00F6>ljetongen","132","P1"
"Ring P1 - 099-510 10","132","P1"
"Eftermiddag i P4 S<U+00F6>rmland","202","P4 S<U+00F6>rmland"
"Ring s<U+00E5> spelar vi","158","Unknown channel"
"Tankar f<U+00F6>r dagen","132","P1"
"Kropp & Sj<U+00E4>l","132","P1"
"Konflikt","132","P1"
"Vetenskapsradion Forum","132","P1"
"P<U+00E5> minuten","132","P1"
"Kaliber","132","P1"
"Catchy & Finska pinnar","226","SR Sisuradio"
"Morgonandakten","132","P1"
"Avg<U+00F6>rande <U+00F6>gonblick","88","Unknown channel"
"Studio Ett","132","P1"
"P3 Nyheter","164","P3"
"P1-morgon","132","P1"
"Odla med P1","132","P1"
"V<U+00E4>der fr<U+00E5>n hela landet","88","Unknown channel"
"Svensktoppen ","158","Unknown channel"
"Morgonpasset i P3","164","P3"
"Dagens dikt","132","P1"
"F<U+00F6>rmiddag i P4 <U+00D6>sterg<U+00F6>tland","222","P4 <U+00D6>sterg<U+00F6>tland"
"Radio Sweden","166","Radio Sweden P6"
"Eftermiddag i P4 Kronoberg","214","P4 Kronoberg"
"Sl<U+00E4>ktband","132","P1"
"Sommar & Vinter i P1","132","P1"
"Melodikrysset","158","Unknown channel"
"<U+0420><U+0430><U+0434><U+0438><U+043E> <U+0428><U+0432><U+0435><U+0446><U+0438><U+044F>","166","Radio Sweden P6"
"Eftermiddag i P4 V<U+00E4>st","219","P4 V<U+00E4>st"
"Radio Schweden","166","Radio Sweden P6"
"Radio Romano","166","Radio Sweden P6"
"P4 Extra ","158","Unknown channel"
"Morgon P4 V<U+00E4>rmland","204","P4 V<U+00E4>rmland"
"Morgon i P4 Kronoberg","214","P4 Kronoberg"
"F<U+00F6>rmiddag i P4 Kronoberg","214","P4 Kronoberg"
"Eftermiddag i P4 Kristianstad","211","P4 Kristianstad"
"F<U+00F6>rmiddag i P4 Halland","220","P4 Halland"
"Raadiyaha Iswiidhen","166","Radio Sweden P6"
"Kalejdoskop","163","P2"
"Radyoya Sw<U+00EA>d<U+00EA> - <U+0695><U+0627><U+062F><U+06CC><U+06C6><U+06CC> <U+0633><U+0648><U+06CC><U+062F>","166","Radio Sweden P6"
"Morgon i P4 Gotland","205","P4 Gotland"
"Eftermiddag i P4 G<U+00F6>teborg","212","P4 G<U+00F6>teborg"
"Morgon i P4 J<U+00F6>nk<U+00F6>ping","203","P4 J<U+00F6>nk<U+00F6>ping"
"F<U+00F6>rmiddag i P4 J<U+00F6>nk<U+00F6>ping","203","P4 J<U+00F6>nk<U+00F6>ping"
"Bildoktorn","158","Unknown channel"
"Sameradion & SVT S<U+00E1>pmi","224","SR S<U+00E1>pmi"
"Musikguiden i P3: Rock","164","P3"
"Helgsm<U+00E5>l","132","P1"
"Eftermiddag i P4 J<U+00F6>nk<U+00F6>ping","203","P4 J<U+00F6>nk<U+00F6>ping"
"Opera i P2","163","P2"
"F<U+00F6>rmiddag i P4 G<U+00F6>teborg","212","P4 G<U+00F6>teborg"
"Mammas Nya Kille","164","P3"
"Andliga s<U+00E5>nger","132","P1"
"CD-revyn i P2","163","P2"
"Klassisk f<U+00F6>rmiddag      ","163","P2"
"Rendezvous med Kristjan Saag","163","P2"
"Radio Sweden Persian <U+0631><U+0627><U+062F><U+06CC><U+0648> <U+0633><U+0648><U+0626><U+062F> ","166","Radio Sweden P6"
"Radio Sweden Arabic <U+0631><U+0627><U+062F><U+064A><U+0648> <U+0627><U+0644><U+0633><U+0648><U+064A><U+062F>","166","Radio Sweden P6"
"Huomenta Ruotsi ","226","SR Sisuradio"
"Kohtauspaikka","226","SR Sisuradio"
"Studio Sisu ","226","SR Sisuradio"
"P3 Dokument<U+00E4>r","164","P3"
"Notturno","163","P2"
"Kulttuurisunnuntai ","226","SR Sisuradio"
"Eftermiddag i P4 V<U+00E4>sterbotten","215","P4 V<U+00E4>sterbotten"
"P3 Din Gata","2576","P3 Din gata"
"Gr<U+00E4>nsl<U+00F6>st","209","P4 Norrbotten"
"Musikguiden i P3: Soul","164","P3"
"Vaken med P3 & P4","158","Unknown channel"
"DigiListan","164","P3"
"Public Service","132","P1"
"P1 Specialprogram","132","P1"
"Finnmix","209","P4 Norrbotten"
"Pl<U+00E5>nboken","132","P1"
"Stil","132","P1"
"Medierna","132","P1"
"Morgon i P4 Dalarna","223","P4 Dalarna"
"Utblick S<U+00E1>pmi","224","SR S<U+00E1>pmi"
"Eftermiddag i P4 Stockholm","701","P4 Stockholm"
"P5 STHLM","2842","P5 STHLM"
"Trafik och service P4 G<U+00F6>teborg","212","P4 G<U+00F6>teborg"
"Trafik och service P4 Malm<U+00F6>hus","207","P4 Malm<U+00F6>hus"
"Trafik och service P4 Stockholm","701","P4 Stockholm"
"Radiosportens nyhetss<U+00E4>ndningar","179","P4 Radiosporten"
"Juniorsporten","1000","Barnwebben"
"Musikguiden i P3: Osignat","164","P3"
"Alla balla kan","1000","Barnwebben"
"F<U+00F6>rmiddag i P4 V<U+00E4>st","219","P4 V<U+00E4>st"
"Radiokorrespondenterna","132","P1"
"Musikmagasinet","163","P2"
"F<U+00F6>rmiddag i P4 S<U+00F6>rmland","202","P4 S<U+00F6>rmland"
"Morgon i P4 V<U+00E4>stmanland","217","P4 V<U+00E4>stmanland"
"F<U+00F6>rmiddag i P4 V<U+00E4>stmanland","217","P4 V<U+00E4>stmanland"
"Eftermiddag i P4 V<U+00E4>stmanland","217","P4 V<U+00E4>stmanland"
"Viskvarten","1000","Barnwebben"
"Schlagerkvarten","1000","Barnwebben"
"Barnradion","1000","Barnwebben"
"<U+00C5>arjelsaemien","224","SR S<U+00E1>pmi"
"De vilda helgonen (2010 <U+00E5>rs julkalender)","1000","Barnwebben"
"Vi i femman","1000","Barnwebben"
"Kino","132","P1"
"Verkligheten i P3","164","P3"
"Eftermiddag i P4 Uppland","218","P4 Uppland"
"Ekots l<U+00F6>rdagsintervju","132","P1"
"P4 Dokument<U+00E4>r","158","Unknown channel"
"Teologiska rummet","132","P1"
"Karlavagnen","158","Unknown channel"
"Morgon i P4 <U+00D6>rebro","221","P4 <U+00D6>rebro"
"Magiska skrinet: Noaidegiis<U+00E1>","224","SR S<U+00E1>pmi"
"P4 Dans","158","Unknown channel"
"Allvarligt talat","132","P1"
"Svensktoppen n<U+00E4>sta","158","Unknown channel"
"Elfving m<U+00F6>ter","158","Unknown channel"
"Unga Radioteatern","1000","Barnwebben"
"Pauline i stallet","1000","Barnwebben"
"Sveriges Radio i Almedalen","83","Unknown channel"
"Magiska skrinet: Di farkishefte pishke","166","Radio Sweden P6"
"Magiska skrinet: E sumnakane romane paramicha","166","Radio Sweden P6"
"P2-f<U+00E5>geln","163","P2"
"F<U+00F6>rmiddag i P4 Uppland","218","P4 Uppland"
"Klassikern","132","P1"
"F<U+00F6>rmiddag i P4 J<U+00E4>mtland","200","P4 J<U+00E4>mtland"
"P4 Musik","158","Unknown channel"
"Klotet","132","P1"
"Morgon i P4 Kristianstad","211","P4 Kristianstad"
"F<U+00F6>rmiddag i P4 Kristianstad","211","P4 Kristianstad"
"Morgon i P4 J<U+00E4>mtland","200","P4 J<U+00E4>mtland"
"F<U+00F6>rmiddag i P4 V<U+00E4>sternorrland","216","P4 V<U+00E4>sternorrland"
"Morgon i P4 V<U+00E4>sternorrland","216","P4 V<U+00E4>sternorrland"
"Morgon i P4 Malm<U+00F6>hus","207","P4 Malm<U+00F6>hus"
"Tendens","132","P1"
"Humorhimlen","164","P3"
"Buorre I<U+0111>it S<U+00E1>pmi","224","SR S<U+00E1>pmi"
"Ekot granskar","83","Unknown channel"
"F<U+00F6>rmiddag i P4 Malm<U+00F6>hus","207","P4 Malm<U+00F6>hus"
"B<U+00E5>tlivet i P4","158","Unknown channel"
"Lilla Al-Fadji","164","P3"
"Ekonomiekot L<U+00F6>rdag","132","P1"
"Eftermiddag i P4 Blekinge","213","P4 Blekinge"
"Barnens Romanpris","1000","Barnwebben"
"Radiopsykologen","132","P1"
"Tankesmedjan","164","P3"
"F<U+00F6>rmiddag P4 V<U+00E4>rmland","204","P4 V<U+00E4>rmland"
"Eftermiddag P4 V<U+00E4>rmland","204","P4 V<U+00E4>rmland"
"DJ Clabbe","158","Unknown channel"
"M<U+00E1>n<U+00E1>idr<U+00E1>dio","224","SR S<U+00E1>pmi"
"P4 specialprogram","158","Unknown channel"
"F<U+00F6>rmiddag i P4 Stockholm","701","P4 Stockholm"
"Uggla i P4","158","Unknown channel"
"Medieormen ","88","Unknown channel"
"Ligga med P3","164","P3"
"Musikhj<U+00E4>lpen 2015","164","P3"
"Junior i P4","1000","Barnwebben"
"Roketti","1000","Barnwebben"
"H<U+00E1>lgu","224","SR S<U+00E1>pmi"
"R<U+00E1>dio S<U+00E1>pmi","224","SR S<U+00E1>pmi"
"Julevs<U+00E1>meb<U+00E5>dd<U+00E5>","224","SR S<U+00E1>pmi"
"Nyheter fr<U+00E5>n Vetenskapsradion","406","Unknown channel"
"Apiga <U+00F6>nskningar","1000","Barnwebben"
"Eftermiddag i P4 Halland","220","P4 Halland"
"Doj-Dojs hotell","1000","Barnwebben"
"Nordegren & Epstein i P1","132","P1"
"Musikguiden i P3 ","164","P3"
"Magiska skrinet: Maaginen kriini","226","SR Sisuradio"
"1000 modiga fr<U+00E5>gor","1000","Barnwebben"
"P3 Spel","164","P3"
"Kluvet land","132","P1"
"Mira 13","1000","Barnwebben"
"P2 Dokument<U+00E4>r","163","P2"
"Institutet","164","P3"
"Kes<U+00E4>puhujat","226","SR Sisuradio"
"Morgon i P4 V<U+00E4>sterbotten","215","P4 V<U+00E4>sterbotten"
"Allt du <U+00F6>nskar (2011 <U+00E5>rs julkalender)","1000","Barnwebben"
"Morgon i P4 G<U+00F6>teborg","212","P4 G<U+00F6>teborg"
"Morgon i P4 Kalmar","201","P4 Kalmar"
"F<U+00F6>rmiddag i P4 Kalmar","201","P4 Kalmar"
"Radioapans bananbra s<U+00E5>nger","1000","Barnwebben"
"Speedwaypodden","201","P4 Kalmar"
"PP3 ","164","P3"
"Eftermiddag i P4 Kalmar","201","P4 Kalmar"
"P3 Musik","164","P3"
"Carpe F*****G Diem ","164","P3"
"Radiodokument<U+00E4>rerna   #radiodok","88","Unknown channel"
"Morgon i P4 Halland","220","P4 Halland"
"Lundstr<U+00F6>ms Bokradio","132","P1"
"Sisutarinat","226","SR Sisuradio"
"FotbollsArena Radiosporten","179","P4 Radiosporten"
"Siri och ishavspiraterna (2012 <U+00E5>rs julkalender)","1000","Barnwebben"
"Katarina Hahr m<U+00F6>ter","132","P1"
"Klassisk morgon ","163","P2"
"P2 p<U+00E5> hemv<U+00E4>g","163","P2"
"P2 Live","163","P2"
"Musik mot midnatt","163","P2"
"L<U+00F6>rdagsmorgon i P2","163","P2"
"S<U+00F6>ndagsmorgon i P2","163","P2"
"Jazzradion","163","P2"
"Elektroniskt i P2","163","P2"
"Klingan","163","P2"
"B<U+00E4>nkad med Ella","163","P2"
"Radioteaterbiblioteket","132","P1"
"Sp<U+00E4>nning","1000","Barnwebben"
"Fredag i P3","164","P3"
"Istid - Radiosportens hockeypodd","179","P4 Radiosporten"
"Lantzkampen","132","P1"
"Morgon i P4 Sjuh<U+00E4>rad","206","P4 Sjuh<U+00E4>rad"
"F<U+00F6>rmiddag i P4 Sjuh<U+00E4>rad","206","P4 Sjuh<U+00E4>rad"
"Eftermiddag i P4 Sjuh<U+00E4>rad","206","P4 Sjuh<U+00E4>rad"
"P1 om solidaritet","132","P1"
"Eftermiddag i P4 Dalarna","223","P4 Dalarna"
"Sommarlov","1000","Barnwebben"
"B<U+00E4>sta Minnet","132","P1"
"Terapioffer","158","Unknown channel"
"Viggo och Olga fiskar","1000","Barnwebben"
"F<U+00F6>rmiddag i P4 Gotland","205","P4 Gotland"
"Radioapan och hans v<U+00E4>nner","1000","Barnwebben"
"Radioapan i Sagoskogen","1000","Barnwebben"
"Radioapans alfabet - s<U+00E5>nger","1000","Barnwebben"
"Radioapans sifferlek - s<U+00E5>nger","1000","Barnwebben"
"Radioapans s<U+00E5>nger om sm<U+00E5> ord","1000","Barnwebben"
"Radioapans kroppens<U+00E5>nger","1000","Barnwebben"
"Ekot","83","Unknown channel"
"Musikguiden i P3: DJ-set och mixar","164","P3"
"Musikguiden i P3: G<U+00E4>stredakt<U+00F6>r","164","P3"
"Musikguiden i P3: Session & Live","164","P3"
"Musikguiden i P3: Musiken i P3","164","P3"
"Radioapans v<U+00E4>derlekar - s<U+00E5>nger","1000","Barnwebben"
"Svenska ber<U+00E4>ttelser","132","P1"
"S<U+00F6>ndagarna med Stina Wollter","158","Unknown channel"
"Helt sant!","1000","Barnwebben"
"Forskarliv","132","P1"
"L<U+00F6>rdag med Lisa","158","Unknown channel"
"P3 med Rikard Weijmer","164","P3"
"P1 Debatt","132","P1"
"Kritiken","132","P1"
"Radiosporten Dokument","179","P4 Radiosporten"
"Novellklubben","1000","Barnwebben"
"Fredagsdisco","1000","Barnwebben"
"Christer och Morgan rapporterar ","164","P3"
"P3 <U+00C4>lskar","164","P3"
"Amelie fr<U+00E5>gar chans","1000","Barnwebben"
"S<U+00F6>ndagsMorgan i P4","158","Unknown channel"
"M<U+00E4>nniskans m<U+00E5>tt","132","P1"
"Ridpodden","164","P3"
"Pyramiden","132","P1"
"High Tower (2014 <U+00E5>rs julkalender)","1000","Barnwebben"
"P4 V<U+00E4>rlden","158","Unknown channel"
"Radionovellen","132","P1"
"Popula","226","SR Sisuradio"
"Det politiska spelet","2332","Unknown channel"
"Snedt<U+00E4>nkt med Kalle Lind","2332","Unknown channel"
"<U+00C4>lgtrubbel","1000","Barnwebben"
"Radioapans fr<U+00E5>gesport","1000","Barnwebben"
"P3 Osignat - Topp 10","164","P3"
"Kulturreportaget","132","P1"
"Gr<U+00F6>nsakslandet","2332","Unknown channel"
"Jukeboxen i P4 ","158","Unknown channel"
"Mozartalmanackan","163","P2"
"Men Herre Gud!","2332","Unknown channel"
"Morgonpasset i P3 - G<U+00E4>sten","164","P3"
"Ljudklappar fr<U+00E5>n Unga Radioteatern","2332","Unknown channel"
"P3 Om ","164","P3"
"Efter sex","158","Unknown channel"
"K<U+00E4>nd fr<U+00E5>n internet","164","P3"
"TV-seriepodden","164","P3"
"S<U+00F6>ndagsintervjun","132","P1"
"Utrikeskr<U+00F6>nikan","132","P1"
"G<U+00E4>stlistan i P2","163","P2"
"Spotlight med Kerstin Berggren","2332","Unknown channel"
"Viikon Sibbe","226","SR Sisuradio"
"Veckans boss med Tankesmedjan","164","P3"
"Pianorullarna","163","P2"
"<U+00D6>gonblicket med Mohamed El Abed","2332","Unknown channel"
"V<U+00E4>rldens b<U+00E4>sta radioshow","1000","Barnwebben"
"Mellopodden","2332","Unknown channel"
"Barnradions poddpaket","1000","Barnwebben"
"Den svenska musikhistorien","163","P2"
"Relationsdomstolen med P3 Din Gata","164","P3"
"Suomalaisia sotaveteraaneja Ruotsissa","226","SR Sisuradio"
"Radioapans godnattkvart","1000","Barnwebben"
"Teaterprogrammet","132","P1"
"V<U+00E5>ra egna rum","132","P1"
"Lunch i P4 Stockholm","701","P4 Stockholm"
"Magnus Uggla - den <U+00E4>ngslige reportern","158","Unknown channel"
"Relationsradion i P3","164","P3"
"Musikguiden i P3 - serier","164","P3"
"P3 Humor presenterar","164","P3"
"V<U+00E5>r b<U+00E4>sta v<U+00E4>n","158","Unknown channel"
"Svenska ikoner","158","Unknown channel"
"Creepypodden med Jack Werner","2332","Unknown channel"
"Kronologen fr<U+00E5>n Musikguiden i P3","164","P3"
"Psyket","164","P3"
"Sverige <U+00E4>r finskt","132","P1"
"Veckans podd","132","P1"
"P4 Sisuradio","226","SR Sisuradio"
"Sm<U+00E5>sagor","158","Unknown channel"
"SR minns Tage Danielsson","132","P1"
"Stockholmstrafiken p<U+00E5> 60 sek","701","P4 Stockholm"
"Operaguiden","163","P2"
"Soilin seurassa","226","SR Sisuradio"
"Flyktv<U+00E4>gen","83","Unknown channel"
"Kielipuoli","226","SR Sisuradio"
"Motioner med Moa","164","P3"
"Kulttuurikeskustelu Koukku","226","SR Sisuradio"
"Konsertti","226","SR Sisuradio"
"Sveriges Radio tycker om film","2332","Unknown channel"
"Hypoteket","164","P3"
